cep;logradouro
07606-065;Alameda Doutor Mário Amaral Vieira
07606-070;Alameda Nelson Rodrigues
07606-073;Praça Arthur Andrade Filho
07606-075;Alameda John Barrigton
07606-080;Alameda Lilian Helene Louise Hodgkiss
07606-090;Avenida Marginal
07606-095;Alameda das Sibipirunas
07606-100;Alameda dos Eucaliptos
07606-105;Travessa Amoreiras
07606-110;Alameda dos Pinheiros
07606-115;Alameda dos Ipês
07606-160;Rua Serra de Bragança
07606-165;Rua Serra do Caiapó
07606-170;Rua Serra das Araras
07606-175;Rua Serra da Laje
07606-180;Rua Serra da Juréia
07606-185;Rua Serra de Itabera
07606-190;Rua Serra do Mar
07606-195;Rua Serra do Japi
07606-200;Rua Serra Negra
07606-205;Rua Serra dos Carajás
07606-210;Estrada Serra da Cantareira
07606-215;Rua Um
07606-220;Rua Dois
07606-225;Rua Quatro
07606-230;Rua Marginal
07606-235;Rua Três
07606-240;Rua Portugal
07606-245;Alameda Custódio Fonseca
07606-250;Rua Pensilvânia
07606-255;Rua Itália
07606-260;Rua Líbano
07606-304;Rua Sabiá
07606-308;Rua Beija-Flor
07606-312;Rua Bem-ti-vi
07606-316;Rua Albatroz
07606-320;Rua Gaivota
07606-324;Rua Existente 1
07606-328;Rua Existente 2
07606-332;Rua Cannes
07606-336;Rua Nice
07606-340;Rua França
07606-344;Rua Corns Prins
07606-348;Rua Mônaco
07606-380;Alameda Recanto das Andorinhas
07606-384;Alameda Recanto do Pica-Pau
07606-388;Alameda Recanto dos Sabiás
07606-392;Alameda Recanto do Beija-flor
07606-396;Alameda Recanto das Corruíras
07606-400;Estrada João Caetano Sobrinho
07606-404;Rua Um - Rec N Lago
07606-408;Alameda Santa Joana D'Arc
07606-420;Alameda Orquídeas
07606-424;Alameda Acácias
07606-428;Alameda Carmina Pereira da Silva Cardoso
07606-432;Alameda Adálias
07606-436;Alameda Gerânios
07606-440;Alameda Camélias
07606-444;Alameda das Adálias - B Rancho Gde
07606-448;Alameda Cedro
07606-452;Alameda Ipê
07606-456;Alameda Cambará
07606-476;Avenida Professora Dulcineia Arantes de Abreu
07606-480;Rua Cinco
07606-484;Rua Seis
07606-488;Rua João Aparecido Alves Bueno
07606-492;Rua Um
07606-496;Rua Dois - Pq da Represa
07607-150;Alameda Dom Pedro II
07607-155;Alameda Dom João VI
07607-160;Alameda Dom Pedro I
07607-165;Alameda José Bonifácio de Andrada e Silva
07607-170;Alameda Imperatriz Leopoldina
07607-175;Alameda Princesa Isabel
07607-180;Alameda Marquesa de Santos
07607-350;Rua Dona Maria Nunes
07607-360;Rua Dez
07607-370;Rua Anthero Teixeira
07607-380;Rua São Felipe
07607-390;Rua São Sebastião
07607-395;Rua São Dimas
07607-430;Rua Donato Petrolino
07607-435;Rua Diomar Lemos
07607-440;Rua José da Silva Santos
07607-445;Rua Hum
07607-500;Estrada Delegado Arcy de Castro Oliveira Vicente
07607-505;Rua Um
07607-510;Rua Dois
07607-515;Avenida Marginal
07607-520;Rua Três
07607-560;Rua Primavera
07607-570;Estrada João Caetano Sobrinho
07607-575;Alameda dos Ipês
07607-580;Alameda das Sibipirunas
07607-585;Travessa Cambará
07607-590;Alameda das Pitangueiras
07607-595;Alameda das Acácias
07607-600;Alameda das Quaresmeiras
07607-605;Alameda dos Jerivás
07607-610;Alameda do Jequitibá
07607-650;Estrada Reinaldo Aparecido de Freitas
07608-005;Rua São Bernardo
07608-010;Rua São Geraldo
07608-015;Rua Santo Apolinário
07608-020;Rua Santo Antonio
07608-025;Rua São Camilo
07608-210;Avenida José Antonio de Moraes Neto
07609-050;Avenida José Antonio de Moraes Neto
07609-055;Rua Dezesseis
07609-060;Rua Dezessete
07609-080;Rua Senador João Martins de Mello Junior
07609-085;Rua Natsu Mizuki
07609-090;Rua Um
07609-095;Rua Kiuhati Mizuki
07609-110;Rua Hugo Fortes
07609-115;Rua Hirotmitsu Murakami
07609-120;Rua Guilhermina Meirelles Fortes
07609-125;Rua Manuel Antunes da Silva
07609-130;Rua Dona Takeno Suguimoto
07609-135;Rua Mário Guedes Martins de Mello
07609-140;Rua Sentaro Suguimoto
07609-155;Rua Nobutero Suguimoto
07609-160;Rua Arthur Fortes
07609-165;Rua Maria Amália Guedes Martins de Mello
07609-170;Rua Doutor Alfred Hutt
07609-175;Viela Particular
07609-190;Rua Vereda dos Sabiás
07609-195;Rua Claudino Cardoso Bicudo
07609-200;Rua Antonio Rodrigues da Silva
07609-205;Rua Silvio Fernandes
07609-210;Rua Antonio Bueno de Moraes
07609-215;Rua João José Moraes Machado
07609-220;Rua Benedito José Moraes Machado
07609-225;Rua João Bela Sanches
07609-230;Rua Três
07609-235;Rua Sete
07609-240;Rua Luciano Wisniewski
07609-245;Rua Seis
07609-250;Rua Adolfo Bueno de Moraes
07609-255;Rua Manoel José de Moraes
07609-260;Rua Enézio Campos
07609-265;Rua Antonio José de Moraes Machado
07609-350;Alameda Ipê
07609-355;Rua Jacarandá
07609-360;Rua Imbuia
07609-365;Rua Cerejeira
07609-370;Rua Quaresmeira
07609-375;Rua Sibipiruna
07609-380;Rua Cedro
07609-385;Praça Flamboyant
07609-390;Rua Flamboyant
07609-395;Rua Acácia
07609-400;Rua Caviuna
07609-405;Rua Mimosa
07609-410;Rua Mogno
07609-465;Rua Antonio Carlos Valente
07609-470;Alameda do Poente
07609-475;Alameda do Oriente
07609-480;Alameda do Nascente
07609-485;Alameda da Neblina
07609-790;Rua dos Narcisos
07609-795;Rua das Papoulas
07609-800;Rua das Flores
07609-805;Rua dos Lis
07609-810;Rua dos Gerânios
07609-815;Rua das Dálias
07609-825;Alameda Sheffield
07609-830;Alameda Edimburgh
07609-835;Alameda Bradford
07609-840;Alameda Glasgow
07610-300;Estrada Municipal Prefeito Doutor Sarkis Tellian
07610-350;Rua Existente
07610-353;Rua dos Tucanos
07610-354;Rua José Rodrigues de Camargo
07610-355;Rua Josepha Maria de Jesus
07610-360;Rua Ignácio Rodrigues da Cunha
07610-370;Rua da Floresta
07610-375;Rua Purcina Nunes Thadeo
07610-380;Rua A
07610-390;Rua B
07610-570;Rua Palmas - Norte
07610-575;Rua das Rosas
07610-580;Rua dos Cravos
07610-585;Rua das Violetas
07610-590;Rua das Hortências
07610-620;Avenida dos Girassóis
07610-625;Rua das Palmas - Sul
07610-630;Rua das Gardenias
07610-635;Rua dos Íris
07610-640;Rua das Azaléas
07610-660;Rua das Orquideas
07610-665;Rua dos Lírios
07610-670;Rua dos Jasmins
07610-685;Rua das Tulipas
07611-005;Rua Nagib Moussa Moussa
07611-010;Rua Dona Maria das Dores Nascimento Chamma
07611-015;Avenida Serra Morena
07611-020;Travessa Sérgio Ribeiro Novaes
07611-025;Rua Antonio Luiz da Costa
07611-030;Travessa da Conciliação
07611-035;Rua Alfredo Carpi
07611-040;Rua Marta Antonia de Moraes
07611-045;Rua Roberto Hallak
07611-050;Rua Geraldo Pereira de Lima
07611-055;Rua Eva Regina Trindade
07611-060;Rua Osvaldo Rodrigues da Silva
07611-100;Rua João Antonio Pereira
07611-105;Rua Hermelinda de Oliveira Silva
07611-110;Rua Maria Conceição Tezzei
07611-115;Alameda Aldeia Pitoresca
07611-120;Alameda Athos Campos
07611-125;Alameda José Victor de Souza
07611-160;Rua Maria de Lourdes Pereira
07611-165;Alameda Antonio Moreno
07611-170;Alameda José Jabali
07611-175;Rua Tenente-Coronel Armando Alves Pinto
07611-180;Alameda Jorge Henrique Moreno Simão
07611-220;Rua José Salomão Chama
07611-380;Avenida Vereador Belarmino Pereira de Carvalho
07611-385;Rua Tabaiacú
07611-390;Avenida da Mata
07611-395;Viela Um
07611-400;Avenida dos Coqueiros
07611-405;Alameda das Quaresmeiras
07611-410;Alameda das Sibipirunas
07611-415;Alameda dos Eucaliptos
07611-420;Viela Seis
07611-425;Rua Padre Celestino André Trevisan
07611-445;Rua Saturnino Ignacio da Silva
07611-465;Rua Abílio Cardoso Bueno
07611-485;Rua Irmã Dulce
07611-530;Alameda dos Pelicanos
07611-535;Alameda do Lago
07611-540;Alameda das Garças
07611-545;Alameda das Gaivotas
07611-550;Alameda da Mata - Sit da Mata
07611-570;Rua Golfinho
07611-575;Rua Dourado
07611-580;Rua Piaba
07611-585;Rua Tainha
07611-590;Rua Vermelho
07611-595;Rua Garoupa
07611-600;Rua Tilápia
07611-605;Rua Corvina
07611-610;Rua Pintado
07611-615;Rua Jatuarana
07611-620;Rua Cascudo
07611-625;Rua Raia
07611-630;Rua Curumatã
07611-635;Rua Corimbatá
07611-640;Rua Pirarara
07611-645;Rua Mandi
07611-650;Estrada Jardim da Serra
07612-504;Estrada Existente
07612-508;Rua Um - Chac Belvedere
07612-512;Rua Dois - Chac Belvedere
07612-516;Rua Existente - Chac Belvedere
07612-520;Rua Quatro - Chac Belvedere
07612-524;Rua Três - Chac Belvedere
07612-740;Rua João Meinberg
07612-744;Rua Lobo
07612-748;Rua A
07612-752;Rua José Antonio Lombardi
07612-756;Rua Jorge Jacubavicius
07612-760;Rua José Nardi
07612-764;Rua Annayr de Campos
07612-768;Rua Sete - Chac V Cant P II
07612-772;Rua Seis - Chac V Cant P II
07612-776;Rua Cinco - Chac V Cant P II
07612-780;Rua Três - Chac V Cant P II
07612-784;Rua Seis - Chac V Cant P I
07612-788;Rua Um - Chac V Cant P I
07612-792;Rua Dois - Chac V Cant P I
07612-796;Rua Cinco - Chac V Cant P I
07612-800;Rua Três - Chac V Cant P I
07612-804;Rua Quatro - Chac V Cant P I
07612-852;Estrada Abílio Barbosa do Prado
07612-856;Alameda Ham
07612-860;Avenida Colônia
07612-864;Alameda Reno
07612-868;Travessa Colônia
07612-872;Alameda Frankfurt
07612-876;Alameda Bonn
07612-880;Alameda Munich
07612-884;Alameda Hamburg
07613-300;Rodovia Arão Sahm
07613-500;Rodovia Arão Sahm
07613-505;Praça Santa Maria
07613-510;Rua Renascença
07613-515;Rua Araras
07613-520;Rua Paranapiacaba
07613-525;Rua Cristais
07613-530;Rua Gurupi
07613-535;Rua Parecis
07613-540;Rua Baturitê
07613-545;Rua Apucarana
07613-550;Rua Anhanguera
07613-555;Rua Dourados
07613-560;Rua Jaraguá
07613-565;Rua Borborema
07613-570;Rua Araripe
07613-575;Rua Itatiaia
07613-580;Rua Mairiporã
07613-585;Rua Fernão Dias
07613-590;Rua Piqueri
07613-595;Rua da Pedreira - Vl Renascença
07613-600;Rua Matiquira
07613-605;Rua Cantareira
07613-650;Avenida Águas Marinhas
07613-655;Avenida Ouro
07613-660;Avenida Esmeralda
07613-665;Rua Turmalina
07613-670;Rua das Pedras
07613-675;Rua da Prata
07613-680;Avenida Safira
07613-685;Rua Platina
07613-690;Avenida Rubi
07613-695;Rua do Brilhante
07613-700;Rua Onix
07613-705;Avenida Galena
07613-710;Avenida Quartzo
07613-715;Avenida Pérola
07613-720;Avenida Bauxita
07613-725;Rua Topázio
07613-730;Rua Azurita
07613-760;Rua da Pedreira - Chac Lenci Flora
07613-765;Avenida Renato Pucci
07613-770;Rua do Monjolo
07613-775;Estrada do Luiz José da Silva
07613-780;Travessa Luiz José da Silva
07613-785;Travessa Deolêncio
07613-790;Rua do Alto
07613-795;Rua Existente
07613-800;Estrada João Mineiro
07615-250;Estrada Carlos Augusto de Castro
07615-260;Estrada Jacinto de Leça
07615-500;Estrada Abílio Barbosa do Prado
07615-550;Rua do Lago
07615-560;Rua do Bosque
07617-005;Avenida Acesso
07617-010;Rua Cordilheira dos Apeninos - Pq Res Cant
07617-015;Rua Cordilheira dos Pirineus - Pq Res Cant
07617-020;Rua E - Pq Res Cant
07617-025;Rua A - Pq Res Cant
07617-030;Rua D - Pq Res Cant
07617-035;Rua Rogerópolis
07617-040;Rua Reginopolis
07617-045;Avenida Vereador Belarmino Pereira de Carvalho
07617-145;Alameda das Amendoeiras
07617-350;Rua Joanópolis
07617-360;Estrada Pedro Pereira da Silva
07617-450;Caminho Velho da Piteira
07617-460;Rua Um
07617-500;Alameda dos Cardeais
07617-505;Alameda das Arapongas
07617-510;Alameda dos Piriquitos
07617-515;Alameda das Andorinhas
07617-520;Alameda dos Canários
07617-525;Alameda das Coleirinhas
07617-530;Alameda dos Pardais
07617-535;Alameda dos Sabiás
07617-650;Estrada Existente
07617-660;Rua A - Austria Cant
07617-670;Rua B - Austria Cant
07617-680;Rua C - Austria Cant
07617-690;Rua D - Austria Cant
07617-700;Rua E - Austria Cant
07618-125;Estrada Augustinho Antonio da Silva
07618-135;Rua Comendador José Rizzo
07618-170;Estrada Dona Elza Alves Rodrigues
07618-180;Estrada Guiomar Barbosa de Freitas Prado
07618-190;Alameda Existente
07618-200;Rua Existente
07618-540;Alameda Parque Vila Velha
07618-544;Alameda Parque Vila Rica
07618-548;Alameda Parque Valinhos
07618-552;Alameda Parque Novo Hamburgo
07618-556;Alameda Parque Paulistano
07618-560;Alameda Paulo Francis
07618-564;Alameda Parque Teresópolis
07618-568;Alameda Parque Petropolis
07618-572;Alameda Parque Nova Odessa
07618-576;Estrada dos Nunes
07618-640;Estrada São Pedro
07618-645;Rua Guilherme Martinho
07618-660;Alameda Biel
07618-664;Alameda Geneve
07618-668;Alameda Estado do Colorado
07618-672;Alameda Lugano
07618-676;Alameda Lausanne
07618-680;Alameda Liestal
07618-684;Alameda Sion
07618-688;Alameda Bern
07618-692;Alameda Zurich
07618-696;Alameda Luzern
07618-700;Alameda St Gallen
07618-770;Alameda Chile
07618-774;Alameda Uruguai
07618-778;Alameda Paraguai
07618-782;Alameda Argentina
07618-786;Alameda Bolívia
07618-790;Alameda Peru
07618-794;Alameda Equador
07618-798;Alameda Venezuela
07618-802;Alameda Brasil
07618-806;Alameda Suriname
07618-810;Alameda Colômbia
07618-814;Alameda Nicarágua
07618-818;Alameda Honduras
07618-822;Alameda México
07618-826;Alameda Panamá
07618-830;Avenida Vereador Belarmino Pereira de Carvalho
07618-862;Avenida São Paulo
07618-866;Alameda Pará
07618-870;Alameda Goiás
07618-874;Alameda Ceará
07618-878;Alameda Pernambuco
07618-882;Alameda Piauí
07618-886;Alameda Bragança
07618-890;Alameda Casa Branca
07618-894;Alameda Amazonas
07618-898;Alameda Paraná
07619-000;Alameda Guanabara
07619-004;Alameda Minas Gerais
07619-008;Alameda Bahia
07619-012;Alameda Acre
07619-016;Alameda Mato Grosso
07619-020;Alameda Jequitibá
07619-024;Avenida Ouro Preto
07619-028;Avenida Mariana
07619-030;Alameda São João Del Rei
07619-032;Alameda Sabará
07619-052;Rua Dez
07619-056;Rua Nove
07619-060;Rua Oito
07619-064;Rua Sete
07619-068;Rua Seis
07619-072;Rua Onze
07619-076;Rua Dois
07619-080;Rua Cinco
07619-084;Rua Quatro
07619-088;Rua Três
07619-092;Rua Um
07619-108;Alameda Luxemburgo
07619-112;Alameda Holanda
07619-116;Alameda Grécia
07619-120;Alameda Itália
07619-124;Alameda Noruega
07619-128;Alameda Bélgica
07619-132;Alameda Finlandia
07619-136;Alameda Dinamarca
07619-140;Alameda Áustria
07619-144;Alameda Alemanha
07619-148;Alameda Inglaterra
07619-152;Alameda Mônaco
07619-156;Alameda Espanha
07619-160;Alameda França
07619-164;Alameda Portugal
07619-168;Alameda Suiça
07619-172;Alameda Suécia
07619-180;Avenida Águas Marinhas
07619-184;Avenida das Granadas
07619-188;Avenida dos Rubis
07619-192;Alameda dos Topázios
07619-196;Avenida das Esmeraldas
07619-200;Avenida dos Cedros
07619-204;Avenida das Turmalinas
07619-208;Avenida dos Alecrins
07619-212;Alameda Pelourinho
07619-216;Alameda Ouro Velho
07619-220;Avenida dos Guarantans
07619-224;Avenida dos Angicos
07619-228;Avenida das Camélias
07619-232;Alameda dos Jasmins
07619-236;Avenida Pau Marfim
07619-240;Alameda dos Guatambus
07619-244;Avenida dos Pinheiros
07619-248;Avenida das Jaboticabeiras
07619-252;Alameda dos Eucaliptos
07619-264;Alameda dos Heliotropos
07619-268;Alameda das Azaléias
07619-272;Avenida dos Pinheiros - Pq Terezópolis Plta
07619-274;Alameda Quaresmeira
07619-276;Alameda dos Miosotis
07619-280;Alameda das Roseiras
07619-284;Alameda dos Crisântemos
07619-288;Avenida Doutor Luis Felippe França Ramos
07619-292;Travessa Santa Inês
07619-296;Alameda Lírios
07619-298;Alameda das Hortências
07619-304;Alameda das Hortências
07619-308;Alameda Quaresmeira
07619-312;Alameda das Manduiranas
07619-316;Alameda Pau-Cigarra
07619-320;Alameda Costa Rica
07619-324;Rua El Salvador
07619-328;Alameda Pau Brasil
07619-368;Alameda das Paineiras
07619-372;Alameda dos Bambus
07619-376;Alameda dos Cristais
07619-380;Alameda dos Ipês
07619-384;Alameda das Acácias
07619-388;Alameda dos Sibipirunas
07619-396;Alameda do Manacá
07619-400;Alameda das Cássias
07619-404;Alameda dos Ciprestes
07619-408;Alameda Pau-incenso
07619-412;Alameda do Ipê Amarelo
07619-416;Alameda do Jacarandá
07619-432;Alameda das Tipuanas
07619-436;Alameda do Suinã
07619-440;Alameda do Resedá
07619-444;Avenida dos Bambus
07619-448;Alameda Canuto de Pito
07619-452;Alameda Canuto de Pito
07619-456;Alameda dos Bambus - Pq Friburgo
07619-460;Avenida das Caviunas
07619-464;Alameda das Goiabeiras
07619-468;Avenida dos Jequitibas
07619-472;Alameda Ribeirão Preto
07619-476;Alameda Botucatu
07619-480;Alameda Batatais
07619-484;Alameda Tietê
07619-512;Alameda Santos
07619-516;Alameda Atibaia
07619-520;Alameda São Roque
07619-524;Alameda São Carlos
07619-528;Alameda Pinhal
07619-532;Alameda Campinas
07619-536;Alameda Piracicaba
07619-540;Alameda Franca
07619-610;Alameda Tumucumaque
07619-614;Alameda Itaguaré
07619-618;Alameda Itatiaia
07619-622;Estrada Particular
07619-626;Estrada Fragoso
07619-630;Alameda Baturité
07619-634;Alameda Araripe
07619-642;Alameda Paracaimã
07619-646;Alameda Itacolomi
07619-650;Alameda Caiapó
07619-654;Alameda Apodi
07619-658;Avenida José Gianesella
07619-662;Rua Dom Pedro de Alcântara
07619-666;Rua Imperatriz Maria Izabel Adelaide
07619-670;Rua Príncipe de Saxe Coburgo-Gotha
07619-674;Rua Príncipe da Beira
07619-678;Rua Barão de Santa Clara
07619-682;Rua Dom Miguel de Bragança de Áustria
07619-686;Rua Gastão de Orleans - Conde D'Eu
07619-690;Rua Princesa Isabel
07619-694;Rua Imperatriz Maria Leopoldina
07619-698;Rua Imperador Dom Pedro II
07619-702;Rua Princesa de Grã-Pará
07619-706;Rua Barão de Guedes
07619-710;Rua Dona Tereza Cristina de Bombore
07619-714;Rua do Imperial
07619-718;Rua Dona Amélia de Beauhamais
07619-722;Rua Visconde de Cunha Bueno
07619-730;Rua Palmares
07619-734;Rua Jaboatão
07619-738;Rua Garanhuns
07619-742;Rua Alagoinha
07619-746;Rua Caruaru
07619-750;Rua Cabo Verde
07619-754;Rua Gravatá
07620-100;Avenida Campo Baio
07620-110;Alameda das Andorinhas
07620-120;Avenida Caraguatá
07620-130;Alameda dos Juritis
07620-140;Alameda dos Pintassilgos
07620-150;Alameda das Patativas
07620-160;Alameda dos Colibris
07620-170;Alameda dos Curiós
07620-180;Alameda dos Sabiás
07621-005;Alameda dos Ipês Amarelos
07621-010;Alameda dos Cambarás
07621-015;Alameda do Ipê Branco
07621-020;Alameda do Ipê Roxo
07621-025;Alameda do Ipê Rosa
07621-030;Alameda dos Pinheiros
07621-035;Alameda Lugano
07621-040;Alameda Friburgo
07621-045;Alameda Lauzane
07621-050;Alameda Zurik
07621-055;Alameda Lucarno
07621-060;Alameda Genebra
07621-070;Estrada dos Eucaliptos
07621-075;Rua Arapari
07621-150;Avenida Doutor Arthur Andrade Filho
07621-155;Rua Manacás
07621-160;Rua dos Salgueiros
07621-165;Rua das Palmeiras
07621-170;Rua dos Sombreiros
07621-175;Rua Jacarandá
07621-180;Rua Canelinha
07621-185;Rua Jatobá
07621-190;Rua Guatambu
07621-195;Rua Quaresmeira
07621-197;Praça Doutor Marcio Peter de Souza Leite
07621-200;Avenida Doutor Arthur Andrade Filho
07621-205;Rua Boaba
07621-210;Rua Pinheiro
07621-215;Rua Pau-D'Alho
07621-220;Rua Kiri
07621-225;Rua Embira
07621-230;Rua das Aleluias
07621-235;Rua Pau-Marfim
07621-240;Rua Pau-Brasil
07621-245;Rua das Paineiras
07621-250;Rua dos Flamboyans
07621-255;Rua Coqueiro
07621-260;Rua da Figueira
07621-265;Rua Faveiro
07621-270;Rua da Louveira
07621-275;Rua Imbuia
07621-280;Rua Ingá
07621-285;Rua Imbauba
07621-290;Rua Ipê
07621-295;Rua Jequitibá
07621-300;Rua Joazeiro
07621-305;Rua Joa
07621-330;Rua Aroeira
07621-380;Avenida Doutor Arthur Andrade Filho
07621-385;Rua Cajueiro
07621-390;Rua Cambuci
07621-395;Rua Carvalho
07621-400;Rua Caviúna
07621-405;Rua das Camélias
07621-410;Rua Nogueira
07621-415;Rua Cedro
07621-420;Rua Canela
07621-425;Rua Cajarana
07621-430;Rua Cabuçu
07621-500;Avenida Duilio Lorenzi
07621-505;Viela Existente 9
07621-510;Viela Existente 8
07621-515;Viela Existente 7
07621-535;Viela Existente 6
07621-555;Viela Existente 5
07621-565;Viela Existente 1
07621-570;Viela Existente 2
07621-575;Viela Existente 4
07621-580;Viela Existente 3
07621-585;Estrada Arturo Lorenzi
07621-720;Rua Porto Feliz
07621-725;Rua Curvelo
07621-730;Rua Tiradentes
07621-735;Rua Porto Seguro
07621-740;Rua Ilhéus
07621-745;Rua Congonhas do Campo
07621-750;Rua Sete Lagoas
07621-755;Rua Barbacena
07621-760;Rua Nascente
07621-765;Rua Olinda
07621-770;Rua Icapará
07621-775;Rua Alcântara
07621-780;Rua Parati
07621-850;Estrada Campo Comprido
07621-855;Estrada dos Sitiantes
07621-860;Rua das Tulipas
07621-865;Rua das Rosas
07621-870;Rua dos Cravos
07621-875;Rua das Margaridas
07621-880;Alameda das Jaboticabeiras
07621-885;Avenida das Rosas
07622-100;Rua A
07622-105;Alameda Monte Verde
07622-110;Alameda Campos do Jordão
07622-115;Alameda Serra Negra
07622-120;Alameda Itapema
07622-125;Alameda Itapua
07622-130;Alameda Paraty
07622-135;Alameda Gumercindo de Alencar
07622-180;Rua Florianopolis
07622-185;Rua Porto Velho
07622-190;Alameda dos Colibris
07622-240;Alameda das Arapongas
07622-245;Alameda dos Sabiás
07622-250;Alameda Tangará
07622-255;Travessa dos Colibris
07622-260;Avenida Serra da Cantareira
07622-265;Rua Los Angeles
07622-270;Rua São Fernando
07622-275;Rua Nevada
07622-280;Alameda dos Mandarins
07622-285;Travessa São Francisco
07622-290;Rua São Francisco
07622-295;Rua Dakota
07622-300;Rua Kansas
07622-305;Alameda dos Canários
07622-320;Alameda das Andorinhas
07622-325;Alameda dos Juritis
07622-330;Alameda das Patativas
07622-335;Alameda das Cotovias
07622-340;Alameda dos Bem-te-vis
07622-345;Alameda Bem-te-vi
07622-400;Alameda dos Macucos
07622-405;Alameda dos Piriquitos
07622-410;Alameda das Curruíras
07622-415;Alameda dos Mainás
07622-420;Alameda dos Beija-Flores
07622-425;Alameda dos Rouxinóis
07622-430;Alameda dos Melros
07622-435;Alameda dos Pelicanos
07622-440;Travessa Falcões
07622-445;Alameda das Emas
07622-450;Alameda das Saíras
07622-455;Alameda dos Flamingos
07622-460;Alameda dos Pintaroxos
07622-465;Alameda dos Calafates
07622-470;Alameda dos Jurupis
07622-475;Travessa das Gralhas
07622-480;Alameda das Garças
07622-485;Alameda das Graúnas
07622-490;Alameda do Pintagol
07622-500;Alameda dos Bicudos
07622-530;Alameda dos Pintassilgos
07622-535;Alameda das Araras
07622-540;Alameda dos Tucanos
07622-545;Alameda das Maritacas
07622-550;Alameda dos Pardais
07622-555;Alameda Lago das Aves
07622-560;Alameda dos Manons
07622-565;Praça dos Pássaros
07622-570;Alameda João-de-Barro
07622-575;Alameda dos Cardeais
07622-580;Alameda das Rolinhas
07622-585;Travessa das Pombas
07622-590;Alameda Uirapuru
07622-595;Alameda dos Curiós
07622-600;Alameda dos Papagaios
07622-605;Alameda das Gaivotas
07623-005;Rua Vinte e Oito
07623-010;Rua Dom João VI
07623-015;Rua Imperatriz Leopoldina
07623-020;Rua Princesa Isabel
07623-025;Avenida Manoel Martins
07623-030;Alameda dos Camargos
07623-035;Alameda do Azulão
07623-040;Rua Gastão de Orleans
07623-045;Rua Dom Pedro de Alcântara
07623-050;Rua Quatro
07623-085;Rua Nath Zilman
07623-090;Rua Janet
07623-095;Rua Lassy
07623-100;Rua Augusto de Faria Alvim
07623-105;Praça D
07623-110;Rua Riva
07623-115;Rua Adelia Zilman
07623-120;Rua Oito
07623-125;Rua Henrique Silva de Sá
07623-140;Rua Susana Maria Peluso Pero
07623-145;Rua Nove
07623-150;Rua Jesuino Fernando da Silva
07623-155;Rua Onze
07623-160;Rua Doze
07623-165;Rua Treze
07623-170;Rua Quatorze
07623-175;Alameda dos Papagaios
07623-180;Estrada de Servidão
07623-185;Rua dos Avinhados
07623-190;Estrada do Canduá
07623-200;Rua Dezesseis
07623-205;Alameda das Seringueiras
07623-210;Rua Dezessete
07623-215;Praça F
07623-220;Rua Dezoito
07623-225;Rua Quinze
07623-250;Rua dos Mimos
07623-255;Alameda dos Ipês
07623-260;Caminho de Servidão
07623-265;Rua Ayrton Senna
07623-270;Rua Jandyra Cardoso da Silva
07623-275;Rua Moacyr Archanjo dos Santos
07623-280;Estrada Santa Inês
07623-310;Rua Vicenza Maria Barbosa
07623-315;Rua Antonio F Almeida
07623-320;Rua Ernani Lúcio Penachi
07623-325;Rua José Rodrigues Barbosa
07623-330;Rua Carlos Saad
07623-335;Rua Rachid Alves
07623-340;Rua Osias Dias
07623-345;Rua Carlos Nogueira
07623-350;Rua Abrahan Bemyara
07625-000;Rodovia Fernão Dias
07625-005;Avenida Dona Lívia Vall Silva André
07625-010;Viela Adão Pinto
07625-015;Rua Azizi Khairalla
07625-020;Viela Manoel Malaquias da Silva
07625-025;Rua Pedrina Pereira da Silva
07625-030;Rua Laurindo Félix da Silva
07625-035;Rua Arthur Dias Figueira
07625-040;Rua Dois
07625-045;Rua Professora Zuleika Vieira Khairalla
07625-050;Rua Iracema Aparecida Barbosa
07625-055;Rua Rubens Weingrill
07625-110;Avenida Thomaz Rodrigues da Cruz
07625-120;Rua Assembleia de Deus
07625-130;Rua Imirim - Chac Mirim
07625-430;Rua Sete
07625-435;Rua Cândido Galrão de França
07625-440;Rua Cinco
07625-445;Rua Seis
07625-450;Rua Bem-te-vi
07625-455;Rua das Araras
07625-460;Rua dos Tucanos
07625-465;Rua Existente - Chac N S Fátima
07625-470;Rua Doutor Rubens Boni
07625-475;Rua Ascenção Conde
07625-480;Avenida Cancelata
07625-500;Rodovia Arão Sahm
07625-770;Estrada de Ibirá
07625-775;Rua Silvestre
07625-780;Rua Raizes
07625-785;Rua Nove
07625-790;Rua Almiscar
07625-795;Rua Mil Flores
07625-800;Rua Campestre
07625-805;Rua Canela
07625-810;Rua Pinho
07625-815;Rua Alfazema
07626-005;Alameda Picos de Europa
07626-010;Alameda Serra Cantabrica
07626-015;Alameda Serra Morena
07626-020;Alameda Serra Nevada
07626-025;Alameda Serra Montserrat
07626-030;Alameda Serra Ventana
07626-035;Alameda Serra dos Pirineus
07626-040;Alameda Serra San Isidro
07626-045;Alameda Serra de Luna
07626-060;Alameda Paineira
07626-065;Alameda das Azaléas
07626-070;Alameda das Orquideas
07626-100;Estrada dos Moraes
07626-105;Estrada Municipal
07626-110;Caminho Particular
07626-115;Alameda dos Periquitos
07626-120;Rua Bem-te-vi - Chac Sta Fé
07626-125;Rua Beija-Flor
07626-130;Rua da Ponte
07626-135;Rua Sabiá
07626-140;Rua Pintassilgo
07626-145;Rua Canário
07626-150;Rua do Coqueiro
07626-155;Rua da Mata
